Table Names,Previous Rank,Weeks on list,Price,Title,Author,ISBN,Last Week/ Weeks on List,Rank,Info
ABA Bestsellers 02-28-18.xlsx/Mass Market,1,8,9.99,No Middle Name,Lee Child,9780399593598,1/8,1,No Middle Name | Lee Child $9.99 | ISBN: 9780399593598
ABA Bestsellers 02-28-18.xlsx/Mass Market,2,3,9.99,Ready Player One,Ernest Cline,9780804190145,2/3,2,Ready Player One | Ernest Cline $9.99 | ISBN: 9780804190145
ABA Bestsellers 02-28-18.xlsx/Mass Market,3,33,9.99,The Whistler,John Grisham,9781101967683,3/33,3,The Whistler | John Grisham $9.99 | ISBN: 9781101967683
ABA Bestsellers 02-28-18.xlsx/Mass Market,,1,9.99,Red Sparrow,Jason Matthews,9781501168918,/1,4,Red Sparrow | Jason Matthews $9.99 | ISBN: 9781501168918
ABA Bestsellers 02-28-18.xlsx/Mass Market,6,9,9.99,Never Never,James Patterson,9781478944782,6/9,5,Never Never | James Patterson $9.99 | ISBN: 9781478944782
ABA Bestsellers 02-28-18.xlsx/Mass Market,10,176,9.99,1984,George Orwell,9780451524935,10/176,6,1984 | George Orwell $9.99 | ISBN: 9780451524935
ABA Bestsellers 02-28-18.xlsx/Mass Market,5,32,9.99,The Husband's Secret,Liane Moriarty,9780451490049,5/32,7,The Husband's Secret | Liane Moriarty $9.99 | ISBN: 9780451490049
ABA Bestsellers 02-28-18.xlsx/Mass Market,4,13,9.99,Dragon Teeth,Michael Crichton,9780062473363,4/13,8,Dragon Teeth | Michael Crichton $9.99 | ISBN: 9780062473363
ABA Bestsellers 02-28-18.xlsx/Mass Market,9,5,8.99,Against All Odds,Danielle Steel,9781101883938,9/5,9,Against All Odds | Danielle Steel $8.99 | ISBN: 9781101883938
ABA Bestsellers 02-28-18.xlsx/Mass Market,8,8,9.99,What Alice Forgot,Liane Moriarty,9780451490445,8/8,10,What Alice Forgot | Liane Moriarty $9.99 | ISBN: 9780451490445
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,8.99,A Wrinkle in Time,Madeleine L'Engle,9781250153272,,1,A Wrinkle in Time | Madeleine L'Engle $8.99 | ISBN: 9781250153272
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.99,Wonder,R.J. Palacio,9781524720193,,2,Wonder | R.J. Palacio $16.99 | ISBN: 9781524720193
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.95,The Girl Who Drank the Moon,Kelly Barnhill,9781616205676,,3,The Girl Who Drank the Moon | Kelly Barnhill $16.95 | ISBN: 9781616205676
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.99,Auggie & Me,R.J. Palacio,9781101934852,,4,Auggie & Me | R.J. Palacio $16.99 | ISBN: 9781101934852
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.99,"Hello, Universe",Erin Entrada Kelly & Isabel Roxas (Illus.),9780062414151,,5,"Hello, Universe | Erin Entrada Kelly & Isabel Roxas (Illus.) $16.99 | ISBN: 9780062414151"
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,12.99,All's Faire in Middle School,Victoria Jamieson,9780525429999,,6,All's Faire in Middle School | Victoria Jamieson $12.99 | ISBN: 9780525429999
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,10.99,Drama,Raina Telgemeier,9780545326995,,7,Drama | Raina Telgemeier $10.99 | ISBN: 9780545326995
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,10.99,Sisters,Raina Telgemeier,9780545540605,,8,Sisters | Raina Telgemeier $10.99 | ISBN: 9780545540605
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.99,Wishtree,Katherine Applegate,9781250043221,,9,Wishtree | Katherine Applegate $16.99 | ISBN: 9781250043221
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,8.99,The War That Saved My Life,Kimberly Brubaker Bradley,9780147510488,,10,The War That Saved My Life | Kimberly Brubaker Bradley $8.99 | ISBN: 9780147510488
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,10.99,Smile,Raina Telgemeier,9780545132060,,11,Smile | Raina Telgemeier $10.99 | ISBN: 9780545132060
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.99,Black Panther: The Young Prince,Ronald L. Smith,9781484787649,,12,Black Panther: The Young Prince | Ronald L. Smith $16.99 | ISBN: 9781484787649
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,6.99,Marvel's Black Panther: The Junior Novel,Jim McCann,9780316413206,,13,Marvel's Black Panther: The Junior Novel | Jim McCann $6.99 | ISBN: 9780316413206
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,10.99,Ghosts,Raina Telgemeier,9780545540629,,14,Ghosts | Raina Telgemeier $10.99 | ISBN: 9780545540629
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,12.99,Roller Girl,Victoria Jamieson,9780803740167,,15,Roller Girl | Victoria Jamieson $12.99 | ISBN: 9780803740167
